name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalAssets,"15,047,000,000","14,874,000,000","15,946,000,000","18,145,000,000","24,817,000,000","27,658,000,000","29,036,000,000","30,015,000,000","30,116,000,000","30,600,000,000","24,032,000,000","22,447,000,000","23,543,000,000","21,709,000,000","21,953,000,000","24,884,000,000","24,591,000,000","25,458,000,000","27,689,000,000","29,475,000,000","28,814,000,000","30,024,000,000","27,732,000,000","26,818,000,000","25,969,000,000","38,585,000,000","38,750,000,000","34,051,000,000","31,658,000,000","31,495,000,000","30,088,000,000","26,441,000,000","11,598,000,000","10,608,000,000","9,816,700,000"
	CurrentAssets,"6,140,000,000","4,695,000,000","5,230,000,000","6,992,000,000","6,685,000,000","8,874,000,000","8,511,000,000","8,273,000,000","7,912,000,000","8,639,000,000","9,731,000,000","8,150,000,000","8,540,000,000","8,754,000,000","8,736,000,000","10,928,000,000","10,335,000,000","11,019,000,000","12,600,000,000","13,022,000,000","11,985,000,000","12,475,000,000","10,766,000,000","10,152,000,000","9,833,000,000","10,546,000,000","13,664,000,000","21,392,000,000","23,937,000,000","22,550,000,000","22,914,000,000","0","4,459,000,000","3,973,000,000","3,900,500,000"
		CashCashEquivalentsAndShortTermInvestments,"2,740,000,000","1,084,000,000","1,293,000,000","2,223,000,000","1,368,000,000","1,411,000,000","1,764,000,000","1,246,000,000","902,000,000","1,211,000,000","3,799,000,000","1,229,000,000","1,099,000,000","1,536,000,000","1,566,000,000","3,218,000,000","2,477,000,000","2,887,000,000","3,990,000,000","1,741,000,000","126,000,000","79,000,000","75,000,000","104,000,000","130,000,000","56,000,000","86,000,000","87,000,000","80,000,000","224,000,000","142,000,000",,"309,000,000","402,000,000","221,500,000"
			CashAndCashEquivalents,"2,740,000,000","1,084,000,000","1,293,000,000","2,223,000,000","1,368,000,000","1,411,000,000","1,764,000,000","1,246,000,000","902,000,000","1,211,000,000","3,799,000,000","1,229,000,000","1,099,000,000","1,399,000,000","1,322,000,000","3,218,000,000","2,477,000,000","2,887,000,000","3,990,000,000","1,741,000,000","126,000,000","79,000,000","75,000,000","104,000,000","130,000,000","56,000,000","86,000,000","87,000,000","80,000,000","224,000,000","142,000,000",,"309,000,000","402,000,000","221,500,000"
			OtherShortTermInvestments,,,,,,,,,"0","0",,,,"137,000,000","244,000,000",,,,,,,,,,,,,,,,,,,,
		Receivables,"2,532,000,000","2,613,000,000","2,786,000,000","2,307,000,000","3,745,000,000","4,187,000,000","4,542,000,000","4,854,000,000","4,931,000,000","5,311,000,000","4,324,000,000","4,899,000,000","5,454,000,000","5,121,000,000","4,937,000,000","5,385,000,000","5,601,000,000","5,724,000,000","5,818,000,000","7,378,000,000","7,737,000,000","7,891,000,000","6,744,000,000","6,408,000,000","5,963,000,000","6,997,000,000","10,249,000,000","6,444,000,000","10,595,000,000","9,699,000,000","11,811,000,000",,"2,104,000,000","1,867,000,000","1,257,400,000"
			AccountsReceivable,"1,091,000,000","1,104,000,000","1,160,000,000","741,000,000","2,207,000,000","2,762,000,000","2,764,000,000","2,791,000,000","2,600,000,000","2,491,000,000","1,702,000,000","2,184,000,000","2,761,000,000","2,199,000,000","2,037,000,000","2,076,000,000","2,159,000,000","2,072,000,000","1,896,000,000","2,281,000,000",,,,,,,,,,,,,,,
			LoansReceivable,,,,,,,,,"2,165,000,000","2,287,000,000","2,396,000,000",,"2,693,000,000",,,,,,,"5,097,000,000",,,,,,,,,,,,,,,
			TaxesReceivable,"27,000,000","14,000,000",,,"14,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,"1,469,000,000","1,551,000,000","1,685,000,000","1,630,000,000","1,604,000,000","1,425,000,000","1,890,000,000","2,171,000,000","2,331,000,000","2,932,000,000","226,000,000","2,715,000,000",,"2,922,000,000","2,900,000,000","3,309,000,000","3,442,000,000","3,652,000,000","3,922,000,000",,,,,,,,,,,,,,,,
			ReceivablesAdjustmentsAllowances,"-55,000,000","-56,000,000","-59,000,000","-64,000,000","-80,000,000",,"-112,000,000","-108,000,000",,"-112,000,000",,,,,,,,,,,,,,,,,,,,,,,,,
		Inventory,"694,000,000","818,000,000","915,000,000","841,000,000","942,000,000","934,000,000","998,000,000","1,011,000,000","1,021,000,000","991,000,000","900,000,000","1,232,000,000","1,305,000,000","1,163,000,000","1,201,000,000","1,143,000,000","1,152,000,000","1,222,000,000","1,364,000,000","1,932,000,000","2,961,000,000","3,269,000,000","2,792,000,000","2,676,000,000","2,646,000,000","2,294,000,000","2,162,000,000","2,257,000,000","2,091,000,000","2,148,000,000","1,567,000,000",,"1,408,000,000","1,389,000,000","1,469,800,000"
			RawMaterials,"71,000,000","70,000,000","89,000,000","81,000,000","99,000,000","98,000,000","101,000,000","106,000,000","97,000,000","87,000,000","85,000,000","108,000,000","136,000,000","129,000,000","146,000,000","174,000,000","167,000,000","195,000,000","307,000,000","346,000,000",,,,,,,,,,,,,,,
			WorkInProcess,"47,000,000","49,000,000","49,000,000","47,000,000","51,000,000","58,000,000","60,000,000","61,000,000","58,000,000","46,000,000","43,000,000","80,000,000","70,000,000","67,000,000","99,000,000","69,000,000","74,000,000","66,000,000","97,000,000","147,000,000",,,,,,,,,,,,,,,
			FinishedGoods,"576,000,000","699,000,000","777,000,000","713,000,000","792,000,000","778,000,000","837,000,000","844,000,000","866,000,000","858,000,000","772,000,000","1,044,000,000","1,099,000,000","967,000,000","956,000,000","900,000,000","911,000,000","961,000,000","960,000,000","1,439,000,000",,,,,,,,,,,,,,,
		PrepaidAssets,"59,000,000","59,000,000",,,"135,000,000",,"175,000,000","172,000,000","147,000,000","156,000,000",,"119,000,000","120,000,000","119,000,000",,,,,,,,,,,,,,,,,,,,,
		RestrictedCash,"0","1,000,000",,,"100,000,000",,"147,000,000","151,000,000","97,000,000","91,000,000",,"20,000,000","45,000,000","236,000,000",,,,,,,,,,,,,,,,,,,,,
		CurrentDeferredAssets,,,,,"61,000,000",,"374,000,000","412,000,000","358,000,000","435,000,000",,"305,000,000","200,000,000","271,000,000",,,,"1,186,000,000","1,428,000,000","1,247,000,000",,,,,,,,,,,,,,,
			CurrentDeferredTaxesAssets,,,,,,,"253,000,000","296,000,000","261,000,000","345,000,000",,"305,000,000","200,000,000","271,000,000",,,,"1,186,000,000","1,428,000,000","1,247,000,000",,,,,,,,,,,,,,,
		AssetsHeldForSaleCurrent,"0",,"0","1,002,000,000","0","1,260,000,000",,,"204,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,
		HedgingAssetsCurrent,"2,000,000","15,000,000",,,"55,000,000",,"6,000,000","11,000,000","58,000,000","45,000,000",,,,,,,,,,,,,,,,,,,,,,,,,
		OtherCurrentAssets,"113,000,000","105,000,000","236,000,000","619,000,000","279,000,000","1,082,000,000","505,000,000","416,000,000","194,000,000","399,000,000","708,000,000","346,000,000","317,000,000","308,000,000","1,032,000,000","1,182,000,000","1,105,000,000",,,"724,000,000","1,161,000,000","1,236,000,000","1,155,000,000","964,000,000","1,094,000,000","1,199,000,000","1,167,000,000","12,604,000,000","11,171,000,000","10,479,000,000","9,394,000,000",,"638,000,000","315,000,000","951,800,000"
	TotalNonCurrentAssets,"8,907,000,000","10,179,000,000","10,716,000,000","11,153,000,000","18,132,000,000","18,784,000,000","20,525,000,000","21,742,000,000","22,204,000,000","21,961,000,000","14,301,000,000","14,297,000,000","15,003,000,000","12,955,000,000","13,217,000,000","13,956,000,000","14,256,000,000","14,439,000,000","15,089,000,000","16,453,000,000","16,829,000,000","17,549,000,000","16,966,000,000","16,666,000,000","16,136,000,000","28,039,000,000","25,086,000,000","12,659,000,000","7,721,000,000","8,945,000,000","7,174,000,000","26,441,000,000","7,139,000,000","6,635,000,000","5,916,200,000"
